acquisition,volume,slice,normalization_scale,computed_flipped_scale,reference_max_abs_consistency_error,zf_max_abs_consistency_error,mask_max_abs_consistency_error,ram_equivariance_psnr,ram_equivariance_nmse,ram_equivariance_mean_abs_error,original_ram_psnr,flipped_ram_psnr,delta_ram_psnr,original_ram_ssim,flipped_ram_ssim,delta_ram_ssim,original_ram_nmse,flipped_ram_nmse,delta_ram_nmse
AXT1POST,file_brain_AXT1POST_205_6000120,7,0.00043882394675165415,0.00043882394675165415,0.0,2.384185791015625e-07,0.0,41.78872365941713,0.0014489393393550688,0.006232518702745438,36.1993408203125,36.453147888183594,0.25380706787109375,0.9240150451660156,0.9250884056091309,0.0010733604431152344,0.007829386740922928,0.007384941913187504,-0.00044444482773542404
AXT1POST,file_brain_AXT1POST_205_6000120,13,0.00044474555761553347,0.0004447456158231944,0.0,2.980232238769531e-07,0.0,45.00276539813695,0.00061806032951195,0.003527092281728983,35.79334259033203,36.12030029296875,0.32695770263671875,0.9192510843276978,0.9176938533782959,-0.0015572309494018555,0.006364541128277779,0.0059029776602983475,-0.00046156346797943115
AXT1POST,file_brain_AXT1POST_200_6002027,5,0.0005205816123634577,0.0005205816123634577,0.0,3.5762786865234375e-07,0.0,39.301375671225564,0.001421981657484588,0.0071686916053295135,33.28042984008789,33.364505767822266,0.084075927734375,0.8916385173797607,0.8872904777526855,-0.004348039627075195,0.0065870401449501514,0.006460747681558132,-0.00012629246339201927
AXT1POST,file_brain_AXT1POST_200_6002027,7,0.0004912996664643288,0.0004912997246719897,0.0,3.5762786865234375e-07,0.0,40.09928238147808,0.0010806915343226722,0.006800374016165733,34.41385269165039,34.16275405883789,-0.2510986328125,0.89405757188797,0.8890133500099182,-0.005044221878051758,0.004960141144692898,0.005255375988781452,0.0002952348440885544
AXT1POST,file_brain_AXT1POST_200_6002027,9,0.0004752257955260575,0.0004752257955260575,0.0,2.980232238769531e-07,0.0,41.17770719329199,0.0008024542228014268,0.005919460207223892,35.44024658203125,35.48297882080078,0.04273223876953125,0.8978452086448669,0.8922923803329468,-0.005552828311920166,0.004054033197462559,0.004014340694993734,-3.9692502468824387e-05
AXT1POST,file_brain_AXT1POST_210_6001649,7,0.0005226396024227142,0.0005226396606303751,0.0,3.5762786865234375e-07,0.0,41.33511995594411,0.0011017016266558475,0.005844856612384319,36.53558349609375,36.06171417236328,-0.47386932373046875,0.9222161769866943,0.921830415725708,-0.0003857612609863281,0.00401635468006134,0.004479391500353813,0.00046303682029247284
AXT1POST,file_brain_AXT1POST_210_6001649,8,0.0005123565788380802,0.0005123564624227583,0.0,3.5762786865234375e-07,0.0,43.1773284655555,0.0006938316012530797,0.004688153509050608,36.479583740234375,36.39250564575195,-0.08707809448242188,0.9237682819366455,0.9216361045837402,-0.0021321773529052734,0.003733192104846239,0.0038088031578809023,7.56110530346632e-05
AXT1POST,file_brain_AXT1POST_210_6001649,13,0.00041727375355549157,0.0004172738117631525,0.0,3.5762786865234375e-07,0.0,45.35269901436729,0.0005663841966886272,0.0031390287913382053,37.212989807128906,37.25935745239258,0.046367645263671875,0.9449207782745361,0.9433161616325378,-0.001604616641998291,0.003997434861958027,0.003954982850700617,-4.245201125741005e-05
AXT1POST,file_brain_AXT1POST_201_6002886,2,0.0003317885275464505,0.0003317885275464505,0.0,3.5762786865234375e-07,0.0,39.70094456022214,0.0015778531623467946,0.00894726812839508,31.211612701416016,31.489044189453125,0.2774314880371094,0.8615559935569763,0.8677409291267395,0.006184935569763184,0.01907815970480442,0.017897536978125572,-0.0011806227266788483
AXT1POST,file_brain_AXT1POST_201_6002886,5,0.00028055591974407434,0.00028055591974407434,0.0,3.5762786865234375e-07,0.0,43.093085899181396,0.0006248650112587196,0.005928828846663237,31.492694854736328,31.565242767333984,0.07254791259765625,0.8618794679641724,0.865279495716095,0.0034000277519226074,0.015162087045609951,0.014910906553268433,-0.0002511804923415184
AXT1POST,file_brain_AXT1POST_201_6002886,6,0.00027343814144842327,0.0002734381123445928,0.0,2.384185791015625e-07,0.0,43.41736524852933,0.0007206148441017702,0.006084706634283066,31.53069305419922,31.644100189208984,0.11340713500976562,0.8656175136566162,0.8671257495880127,0.0015082359313964844,0.013193080201745033,0.012853019870817661,-0.000340060330927372
AXT1POST,file_brain_AXT1POST_209_6001196,4,0.00044340171734802425,0.0004434016882441938,0.0,3.5762786865234375e-07,0.0,42.30759762924287,0.00143049647779748,0.006066438741981983,37.16635513305664,37.04882049560547,-0.11753463745117188,0.9331475496292114,0.9326218366622925,-0.0005257129669189453,0.004937733989208937,0.005073188338428736,0.00013545434921979904
AXT1POST,file_brain_AXT1POST_209_6001196,7,0.0003778548270929605,0.00037785479798913,0.0,3.5762786865234375e-07,0.0,43.37508611690537,0.001022236587344324,0.005029069259762764,36.44260025024414,36.60451889038086,0.16191864013671875,0.9274413585662842,0.9303597807884216,0.002918422222137451,0.005121476016938686,0.00493405107408762,-0.0001874249428510666
